earnings,education,height,height1,height2,hispanic,race,sex,yearbn
50000,16,74,6,2,2,1,1,45
60000,16,66,5,6,2,1,2,32
30000,16,64,5,4,2,1,2,61
50000,16,63,5,3,2,3,2,99
51000,17,63,5,3,2,1,2,51
9000,15,64,5,4,2,1,2,64
29000,12,62,5,2,2,1,2,41
32000,17,73,6,1,2,1,1,44
2000,15,72,6,0,1,1,1,69
27000,12,72,6,0,2,1,1,64
6530,16,70,5,10,2,1,1,25
30000,11,68,5,8,2,1,1,56
12000,12,68,5,8,2,1,1,63
12000,12,65,5,5,2,1,2,39
22000,16,66,5,6,2,1,2,55
17000,12,68,5,8,2,1,1,32
40000,14,68,5,8,2,1,2,61
44000,13,70,5,10,2,1,1,46
7000,12,64,5,4,2,2,2,35
53000,13,73,6,1,2,2,1,55
5000,13,62,5,2,2,1,2,39
14000,14,63,5,3,2,1,2,69
5500,14,67,5,7,2,1,1,68
40000,12,66,5,6,2,1,2,49
34000,12,72,6,0,2,1,1,45
10000,12,63,5,3,2,2,2,55
27000,16,64,5,4,2,1,2,30
50000,16,72,6,0,2,1,1,52
41000,16,77,6,5,2,1,1,57
15000,14,64,5,4,2,1,2,65
25000,12,64,5,4,2,1,2,57
75000,17,72,6,0,2,1,1,51
27000,17,68,5,8,2,1,1,59
12000,12,64,5,4,2,1,2,64
7500,14,61,5,1,2,1,2,12
30000,14,67,5,7,2,2,2,59
21000,12,65,5,5,2,1,2,33
27000,14,64,5,4,2,1,2,64
3000,15,67,5,7,2,1,2,25
25000,12,65,5,5,2,1,2,60
24000,12,65,5,5,2,1,2,49
32000,18,67,5,7,2,1,2,61
10000,17,68,5,8,2,1,2,60
11000,12,60,5,0,1,1,2,69
18700,13,65,5,5,2,1,2,58
20000,12,62,5,2,2,1,2,61
3500,10,72,6,0,2,1,1,72
13000,8,67,5,7,2,2,1,34
25000,12,70,5,10,2,1,1,25
21000,17,70,5,10,2,1,1,49
34000,17,68,5,8,2,1,2,41
6000,12,60,5,0,2,1,2,25
17000,12,71,5,11,2,1,1,62
35000,12,71,5,11,2,1,1,58
4000,13,73,6,1,2,1,1,72
14000,14,68,5,8,2,1,2,35
10000,12,66,5,6,2,1,2,33
25000,16,69,5,9,2,1,1,61
16000,14,63,5,3,2,1,2,63
16000,14,62,5,2,1,1,1,62
16500,14,64,5,4,2,1,2,47
4000,9,64,5,4,2,1,2,22
3840,9,67,5,7,2,1,2,38
22000,12,71,5,11,2,1,1,51
200,16,60,5,0,2,1,2,37
26000,16,66,5,6,2,1,2,63
2500,15,66,5,6,2,1,2,69
17000,14,65,5,5,2,1,2,51
8000,13,70,5,10,2,1,2,68
12000,13,66,5,6,2,1,2,22
10000,12,62,5,2,2,1,2,43
10000,15,66,5,6,2,1,2,23
15000,12,72,6,0,2,1,1,51
2400,8,67,5,7,1,1,2,51
30000,12,68,5,8,1,1,1,58
30000,12,70,5,10,2,1,1,57
10000,12,62,5,2,2,1,2,52
5000,13,63,5,3,2,1,2,64
12000,13,66,5,6,2,1,2,27
20000,10,70,5,10,2,1,2,29
20000,12,68,5,8,2,1,2,54
20000,14,70,5,10,2,1,1,67
1200,12,66,5,6,2,1,2,70
700,16,68,5,8,2,1,2,58
20000,16,70,5,10,2,1,1,63
10000,12,61,5,1,1,1,2,68
30000,12,63,5,3,2,1,2,17
40000,14,64,5,4,2,1,2,34
25000,12,67,5,7,2,1,1,1
10000,17,61,5,1,2,1,2,11
60000,18,69,5,9,2,1,2,27
18000,12,68,5,8,2,1,2,24
16040,12,64,5,4,2,1,2,57
15000,14,67,5,7,2,2,2,60
10000,17,69,5,9,2,1,1,67
33000,13,67,5,7,2,1,2,47
18000,12,68,5,8,2,1,2,60
15000,12,63,5,3,2,1,2,53
21000,12,71,5,11,2,1,1,68
21000,17,64,5,4,2,2,2,47
37000,11,68,5,8,2,1,1,53
38000,17,68,5,8,2,1,2,46
17000,14,66,5,6,1,1,2,47
32000,16,77,6,5,2,1,1,60
27500,12,67,5,7,2,1,2,32
16500,12,62,5,2,2,1,2,46
25000,18,67,5,7,2,1,2,55
27000,18,61,5,1,2,1,2,47
5000,12,64,5,4,2,1,2,62
70000,16,62,5,2,2,1,2,52
5000,12,63,5,3,2,1,2,50
5000,16,68,5,8,2,1,1,66
20000,15,64,5,4,2,1,2,64
4000,15,72,6,0,2,1,1,69
60000,16,64,5,4,2,1,2,55
5000,13,61,5,1,2,1,2,59
30000,12,74,6,2,2,1,1,52
70000,14,70,5,10,2,1,1,55
50000,16,71,5,11,2,1,1,49
44000,12,63,5,3,2,1,2,51
30000,14,64,5,4,2,1,2,47
10000,16,62,5,2,2,1,2,50
23000,17,70,5,10,2,1,2,48
45000,17,71,5,11,2,1,1,28
15000,14,71,5,11,2,1,1,59
4000,14,70,5,10,2,1,2,19
17000,14,67,5,7,2,1,1,59
30000,12,64,5,4,2,1,2,58
27500,12,67,5,7,2,1,2,60
5688,8,62,5,2,2,1,2,21
18000,13,62,5,2,1,1,2,34
43000,13,68,5,8,2,2,1,46
32000,14,62,5,2,2,2,2,46
10000,18,68,5,8,2,2,2,34
60000,13,74,6,2,2,1,1,45
21000,12,68,5,8,2,4,2,40
2400,16,62,5,2,2,1,2,68
1000,15,66,5,6,2,1,2,62
27000,12,68,5,8,2,1,1,63
6600,14,60,5,0,1,1,2,62
16000,8,68,5,8,2,1,1,47
90000,12,72,6,0,2,1,1,64
8000,12,66,5,6,2,1,2,48
20000,10,68,5,8,2,1,1,58
15000,12,68,5,8,2,1,2,72
12000,12,69,5,9,2,1,2,30
24000,16,64,5,4,2,1,2,44
20000,14,65,5,5,2,1,2,51
19000,12,61,5,1,2,1,2,44
10000,12,72,6,0,2,1,1,41
40000,16,66,5,6,2,1,2,56
25000,14,68,5,8,2,1,1,26
25000,12,70,5,10,2,1,1,66
25000,14,71,5,11,2,1,1,58
19000,16,71,5,11,2,1,1,29
44000,16,68,5,8,2,1,1,42
15000,14,60,5,0,2,1,2,41
17000,12,63,5,3,2,1,2,54
24000,12,68,5,8,2,1,1,34
23000,12,64,5,4,2,1,2,53
13000,12,70,5,10,2,1,1,16
65000,16,68,5,8,2,1,1,44
7000,12,61,5,1,2,1,2,27
40000,18,68,5,8,2,1,1,27
15000,17,66,5,6,2,1,2,47
20000,16,70,5,10,2,1,1,65
20000,12,71,5,11,2,1,1,40
20000,12,65,5,5,2,1,2,48
25000,12,66,5,6,2,1,2,41
49000,13,70,5,10,2,1,1,53
25000,12,62,5,2,2,1,2,25
11000,14,66,5,6,2,1,2,33
16000,15,61,5,1,2,1,2,52
35000,14,72,6,0,2,1,1,47
125000,18,74,6,2,2,1,1,45
23000,12,67,5,7,2,1,2,43
17000,16,66,5,6,2,1,2,62
27000,12,62,5,2,2,1,2,49
70000,14,72,6,0,2,1,1,58
35000,15,65,5,5,2,1,2,43
10000,12,60,5,0,2,1,2,28
35000,15,62,5,2,2,1,2,51
15000,12,66,5,6,2,1,2,52
12000,12,64,5,4,2,1,2,51
8000,12,71,5,11,2,1,1,22
8000,12,65,5,5,2,1,2,40
35000,18,73,6,1,2,1,1,40
45000,11,69,5,9,2,1,1,39
15000,14,64,5,4,2,1,2,68
15000,12,61,5,1,2,1,2,13
24000,18,67,5,7,2,1,2,39
25000,13,62,5,2,2,1,2,58
25000,14,63,5,3,2,2,2,36
20000,10,67,5,7,2,3,1,62
24000,12,68,5,8,2,1,2,66
44000,16,72,6,0,2,1,1,44
69000,12,70,5,10,2,1,1,52
62000,18,70,5,10,2,1,1,46
32000,14,67,5,7,2,2,1,58
20000,12,63,5,3,2,2,2,57
32000,18,66,5,6,2,3,2,55
25000,17,66,5,6,2,1,2,40
170000,18,71,5,11,2,1,1,45
35000,16,67,5,7,2,1,1,57
40000,16,76,6,4,2,2,1,52
33000,14,69,5,9,2,1,1,60
18000,12,65,5,5,2,1,2,68
30000,13,62,5,2,2,1,2,47
26000,12,62,5,2,2,1,2,59
5000,12,62,5,2,2,1,2,69
20000,16,62,5,2,2,1,2,17
17000,12,61,5,1,2,1,2,60
32000,14,65,5,5,2,1,2,62
15000,14,72,6,0,2,1,1,68
50000,14,72,6,0,2,1,1,35
8000,12,64,5,4,2,1,2,51
40000,14,71,5,11,2,1,1,39
40000,15,72,6,0,2,1,1,49
32750,12,66,5,6,2,1,1,56
20000,14,65,5,5,2,1,2,21
36000,15,65,5,5,2,2,2,51
6000,12,62,5,2,2,1,2,26
12000,14,66,5,6,1,2,2,56
60000,14,67,5,7,2,1,1,27
40000,13,64,5,4,2,1,2,46
43000,12,63,5,3,2,1,2,52
45000,16,67,5,7,2,1,2,56
6000,18,68,5,8,2,1,2,51
8000,10,64,5,4,2,4,2,8
20000,13,64,5,4,2,2,2,51
17000,12,66,5,6,2,2,1,67
2000,12,65,5,5,2,1,2,58
65000,12,65,5,5,2,1,1,62
50000,12,72,6,0,2,1,1,49
11000,12,68,5,8,2,1,2,52
35000,18,74,6,2,2,1,1,60
27000,12,63,5,3,2,1,1,57
3500,12,64,5,4,2,1,2,29
42000,12,68,5,8,2,1,1,53
20000,18,67,5,7,2,1,2,61
15000,12,67,5,7,2,1,2,61
10000,12,73,6,1,2,1,1,69
6000,8,70,5,10,2,1,1,12
17000,16,65,5,5,1,1,2,67
35000,16,69,5,9,1,1,1,25
28000,14,77,6,5,2,1,1,62
15000,12,68,5,8,2,1,2,57
20000,17,62,5,2,2,1,2,66
20000,12,64,5,4,2,1,2,61
10500,12,67,5,7,1,3,1,48
13000,16,70,5,10,2,1,1,68
10000,12,62,5,2,2,1,2,38
3000,12,63,5,3,2,1,2,53
24000,14,62,5,2,2,1,2,61
17000,13,69,5,9,2,1,2,55
11000,12,64,5,4,2,1,2,42
32000,14,69,5,9,2,1,2,50
17000,15,59,4,11,2,1,2,64
3000,12,66,5,6,2,4,2,55
2100,12,62,5,2,2,2,2,69
3192,11,75,6,3,2,2,1,56
17000,17,63,5,3,2,1,2,64
30000,13,65,5,5,2,1,2,62
15000,12,70,5,10,2,1,1,58
24000,16,68,5,8,2,1,2,48
10000,14,65,5,5,2,1,2,23
50000,8,69,5,9,2,1,1,37
50000,16,72,6,0,2,1,1,37
20000,17,64,5,4,2,1,2,41
30000,18,63,5,3,1,1,2,36
22000,14,73,6,1,2,1,2,45
27000,12,75,6,3,2,1,1,66
4000,12,65,5,5,2,1,2,52
17500,17,66,5,6,2,1,2,64
16500,14,66,5,6,2,1,2,62
28000,16,64,5,4,2,1,2,51
52000,18,66,5,6,2,1,2,40
15000,16,64,5,4,2,1,2,61
19000,13,63,5,3,2,1,2,58
27000,12,73,6,1,2,1,1,67
15000,8,72,6,0,2,1,1,32
15000,14,72,6,0,2,1,1,57
14500,12,64,5,4,2,1,2,35
24000,13,64,5,4,2,1,2,60
18000,15,68,5,8,2,1,1,54
4000,12,62,5,2,2,1,2,22
4000,13,69,5,9,2,1,2,33
700,12,60,5,0,2,1,2,54
24000,12,65,5,5,2,1,2,99
27000,12,76,6,4,2,1,1,51
12000,12,72,6,0,2,1,2,55
22000,18,62,5,2,2,1,2,43
30000,13,62,5,2,2,1,2,54
35000,12,71,5,11,2,1,1,29
20000,12,74,6,2,2,1,1,48
32000,16,65,5,5,2,1,2,58
6000,12,63,5,3,2,4,2,59
12000,12,67,5,7,2,1,2,51
10000,12,63,5,3,2,1,2,59
1000,12,65,5,5,2,1,2,72
12000,15,64,5,4,2,1,2,19
16000,12,65,5,5,2,1,2,54
25000,16,63,5,3,2,1,2,57
25000,12,70,5,10,2,1,2,63
32000,12,68,5,8,2,1,1,60
35000,14,67,5,7,2,1,1,47
6000,12,65,5,5,2,1,2,62
80000,14,69,5,9,2,1,1,46
20000,14,68,5,8,2,1,2,65
1000,17,66,5,6,2,1,2,52
28000,13,71,5,11,1,1,1,52
26000,16,64,5,4,1,1,1,67
27000,12,74,6,2,2,1,1,66
18000,13,62,5,2,2,1,2,49
2000,12,65,5,5,2,1,2,31
20000,12,69,5,9,2,1,1,24
6000,16,66,5,6,2,1,2,42
25000,11,67,5,7,2,1,1,27
12000,12,73,6,1,2,1,1,61
12000,12,76,6,4,2,1,1,33
30000,14,70,5,10,2,1,1,14
4000,15,63,5,3,2,2,2,68
26000,13,63,5,3,2,2,2,53
23000,12,70,5,10,2,2,1,55
21000,12,71,5,11,2,1,1,57
25000,12,65,5,5,2,1,2,28
18000,16,70,5,10,2,1,1,15
4000,13,63,5,3,2,1,2,46
23900,12,64,5,4,2,1,2,68
35000,18,64,5,4,2,1,2,50
26000,14,67,5,7,2,1,1,60
25000,16,66,5,6,2,1,1,54
23500,13,68,5,8,2,1,2,63
12000,12,65,5,5,2,1,2,68
15000,12,67,5,7,2,1,2,70
3000,17,73,6,1,2,1,1,67
6000,12,64,5,4,2,1,2,23
14000,12,71,5,11,2,1,1,21
15000,16,63,5,3,2,1,2,59
175000,16,71,5,11,2,1,1,42
1000,18,73,6,1,2,1,1,65
10000,14,65,5,5,2,1,2,27
45000,13,66,5,6,2,1,1,8
15000,12,66,5,6,2,1,2,9
20000,13,59,4,11,2,1,2,49
35000,16,70,5,10,2,1,1,60
40000,16,72,6,0,2,1,1,62
35000,12,64,5,4,2,1,2,18
50000,16,66,5,6,2,1,2,36
100000,18,70,5,10,2,1,1,33
35000,13,69,5,9,2,1,1,62
24000,12,68,5,8,2,1,2,55
35000,17,74,6,2,2,1,1,47
38000,16,73,6,1,2,1,1,16
30000,12,67,5,7,2,1,1,38
5000,12,64,5,4,1,1,2,51
148000,18,67,5,7,2,1,1,52
30000,12,70,5,10,2,1,1,58
6500,15,64,5,4,2,1,2,59
3000,16,62,5,2,2,1,2,53
23000,18,69,5,9,2,1,1,21
40000,17,68,5,8,2,1,1,49
30000,14,72,6,0,2,1,1,51
14000,12,63,5,3,2,1,2,53
15000,12,69,5,9,2,1,2,56
26000,18,64,5,4,2,1,2,54
8000,12,71,5,11,2,1,2,65
24000,16,64,5,4,2,2,2,63
5124,8,66,5,6,2,1,1,23
10000,15,61,5,1,2,1,2,65
12000,16,68,5,8,2,1,2,58
50000,17,68,5,8,2,1,1,56
23000,13,64,5,4,2,1,2,64
40000,14,66,5,6,2,2,1,56
6000,13,62,5,2,2,2,2,64
5000,16,65,5,5,2,2,2,60
110000,18,66,5,6,2,1,1,53
41000,13,72,6,0,1,1,1,58
23000,13,63,5,3,2,1,2,12
21000,12,70,5,10,2,1,1,67
4000,12,62,5,2,2,1,2,61
25000,12,71,5,11,2,1,1,54
30000,18,70,5,10,2,1,1,44
14000,11,64,5,4,2,1,2,39
6000,12,63,5,3,2,1,2,55
14000,12,65,5,5,2,1,2,44
43000,12,71,5,11,2,1,1,63
25000,15,62,5,2,2,1,2,57
40000,12,73,6,1,2,1,1,24
65000,17,68,5,8,2,1,1,50
16000,15,76,6,4,2,1,1,58
8000,12,66,5,6,2,1,2,19
20000,15,64,5,4,2,1,2,51
14000,14,60,5,0,2,1,2,18
45000,12,68,5,8,2,1,1,16
8000,11,61,5,1,2,1,2,18
12000,12,66,5,6,2,1,1,62
8000,14,63,5,3,2,1,2,59
16000,15,63,5,3,2,1,2,58
6000,15,74,6,2,2,1,1,17
19000,12,70,5,10,2,1,1,58
21000,13,68,5,8,2,1,2,51
43000,18,70,5,10,2,1,2,44
35000,15,69,5,9,2,1,1,69
8000,10,70,5,10,2,1,1,15
21000,14,63,5,3,2,1,2,49
5800,12,65,5,5,2,1,2,60
17000,12,69,5,9,2,1,1,44
24000,14,68,5,8,2,1,1,41
5000,11,62,5,2,2,1,2,19
11000,12,66,5,6,2,1,2,67
10000,13,65,5,5,2,1,1,63
40000,14,70,5,10,2,1,1,54
40000,12,70,5,10,2,1,1,43
24000,14,66,5,6,2,2,2,61
24000,16,68,5,8,2,1,1,64
20000,16,68,5,8,2,1,1,57
60000,18,70,5,10,2,1,1,40
11000,13,65,5,5,2,1,2,43
5000,15,64,5,4,2,1,2,50
27000,16,65,5,5,2,1,2,60
89000,16,77,6,5,2,1,1,49
40000,14,70,5,10,2,1,1,62
15000,16,64,5,4,2,1,2,64
1000,14,64,5,4,2,1,2,70
22000,12,64,5,4,2,1,2,30
12000,8,64,5,4,2,1,2,42
22000,16,63,5,3,2,1,2,62
40000,12,58,4,10,2,2,2,34
40000,16,62,5,2,2,1,2,46
35000,14,64,5,4,1,1,2,37
7000,12,64,5,4,2,1,2,62
14000,12,62,5,2,2,1,2,53
15000,12,64,5,4,2,1,2,34
6000,13,66,5,6,2,1,2,56
11000,12,69,5,9,2,2,2,49
10000,13,64,5,4,2,1,2,59
20000,14,71,5,11,2,1,1,49
7000,12,62,5,2,2,1,2,17
38000,9,68,5,8,2,1,1,44
29000,9,68,5,8,2,1,1,32
20000,10,62,5,2,2,1,2,46
8000,12,63,5,3,2,1,2,33
36000,16,69,5,9,2,1,1,39
1500,12,67,5,7,2,1,2,46
42000,18,64,5,4,2,1,2,61
25000,12,70,5,10,2,1,1,68
13000,10,69,5,9,2,1,1,70
30000,11,69,5,9,2,2,1,39
7000,12,69,5,9,2,1,1,67
31000,12,60,5,0,2,2,2,42
15000,12,66,5,6,2,2,2,48
50000,16,67,5,7,2,1,1,41
5000,15,66,5,6,2,1,1,70
600,12,70,5,10,2,2,2,72
14000,8,64,5,4,2,2,2,39
40000,18,60,5,0,2,3,2,55
24000,18,68,5,8,2,1,1,54
22000,12,73,6,1,2,2,1,66
20000,8,72,6,0,2,1,1,54
20112,12,64,5,4,2,1,2,52
12000,13,67,5,7,2,1,1,23
41000,13,67,5,7,2,1,2,50
13000,9,71,5,11,2,2,1,40
60000,16,73,6,1,2,1,1,59
24000,16,70,5,10,2,1,1,65
38000,16,70,5,10,2,1,1,54
3000,14,71,5,11,2,1,2,63
13000,12,66,5,6,2,1,2,60
5000,12,75,6,3,2,1,1,69
20000,14,60,5,0,2,1,2,53
22000,12,72,6,0,2,1,1,62
28000,9,75,6,3,2,2,1,35
22000,12,60,5,0,2,1,2,49
30000,12,73,6,1,2,2,1,46
30000,12,65,5,5,2,2,2,58
30000,16,67,5,7,2,1,1,59
32000,12,61,5,1,2,1,2,21
26000,17,69,5,9,2,1,2,47
22000,14,64,5,4,2,1,2,56
25000,12,70,5,10,2,1,1,57
11000,10,68,5,8,2,1,2,66
13000,12,62,5,2,2,1,2,37
10000,15,64,5,4,2,1,2,48
12000,12,68,5,8,2,1,2,45
7000,11,64,5,4,2,1,2,26
57000,14,73,6,1,2,1,1,53
36000,16,73,6,1,2,1,1,53
29000,14,69,5,9,1,1,1,61
8000,13,68,5,8,2,1,2,71
3000,11,71,5,11,2,2,1,72
20000,16,66,5,6,2,1,2,49
33000,12,66,5,6,2,1,1,33
15000,12,68,5,8,1,1,2,22
16000,12,70,5,10,2,1,1,57
5000,12,62,5,2,2,1,2,12
8000,14,66,5,6,2,1,2,47
32000,16,63,5,3,2,2,2,56
14500,12,75,6,3,2,1,1,66
13000,12,67,5,7,2,1,2,61
7000,9,63,5,3,2,1,2,65
50000,18,65,5,5,2,2,2,25
12000,12,69,5,9,2,2,2,55
19000,14,71,5,11,2,1,1,29
9000,12,62,5,2,2,1,2,35
20000,12,65,5,5,2,2,2,55
55000,18,72,6,0,1,1,1,55
10000,12,65,5,5,2,1,2,50
13000,12,63,5,3,2,1,2,71
20000,13,64,5,4,2,1,2,59
30000,12,72,6,0,2,1,1,64
12000,12,64,5,4,2,1,2,56
26000,13,70,5,10,2,1,2,57
12500,12,65,5,5,2,1,2,63
8000,12,64,5,4,2,1,2,61
15000,16,64,5,4,1,1,2,58
65000,14,67,5,7,2,1,1,65
25000,10,73,6,1,2,1,1,69
8000,14,73,6,1,1,1,1,69
15000,14,65,5,5,2,3,1,69
12000,16,64,5,4,2,1,2,50
35000,13,67,5,7,2,2,2,53
40000,16,67,5,7,2,1,1,59
29000,12,74,6,2,2,1,1,68
15000,13,63,5,3,2,1,2,59
20000,12,74,6,2,2,1,1,54
3000,6,74,6,2,2,2,1,28
1000,16,63,5,3,2,2,2,71
8000,11,62,5,2,2,2,2,67
5000,12,62,5,2,2,1,2,72
25000,16,67,5,7,2,1,2,63
20000,12,69,5,9,2,1,1,33
30000,12,73,6,1,2,1,1,56
12000,12,63,5,3,2,1,2,55
10000,14,67,5,7,2,1,2,58
16000,12,69,5,9,2,1,1,71
45000,12,71,5,11,2,1,1,61
40000,14,72,6,0,2,1,1,36
25000,14,70,5,10,2,1,1,9
19000,14,64,5,4,2,1,2,38
17600,16,64,5,4,2,1,2,60
7000,12,68,5,8,2,1,1,23
30000,12,74,6,2,2,1,1,58
18000,11,62,5,2,2,1,2,43
25000,16,65,5,5,2,1,2,43
6000,5,60,5,0,2,1,2,28
70000,18,69,5,9,2,1,1,48
15000,16,61,5,1,2,3,2,56
25000,17,65,5,5,2,1,2,57
35000,16,66,5,6,2,1,2,62
18000,16,70,5,10,2,1,1,66
28000,15,72,6,0,2,2,1,60
15000,11,64,5,4,1,1,2,69
22000,14,71,5,11,1,1,1,62
35000,12,73,6,1,2,1,1,60
18000,15,64,5,4,2,2,2,44
35000,14,68,5,8,2,1,1,53
16400,12,64,5,4,2,2,2,69
22000,16,66,5,6,2,2,1,53
30000,16,67,5,7,2,1,2,32
17000,12,64,5,4,1,1,2,63
25000,14,64,5,4,2,2,2,54
10000,12,62,5,2,2,1,2,39
40000,12,69,5,9,2,1,1,53
12500,12,63,5,3,2,1,2,27
35000,15,72,6,0,2,1,1,45
105000,12,75,6,3,2,1,1,41
100000,18,70,5,10,2,1,1,50
21000,12,69,5,9,2,1,1,39
10000,14,64,5,4,2,1,2,34
33000,12,72,6,0,2,1,1,64
26000,18,69,5,9,2,1,1,65
60000,10,63,5,3,2,1,2,12
18000,16,71,5,11,2,1,1,45
15000,8,59,4,11,2,1,2,29
5000,13,68,5,8,2,1,1,70
60000,17,77,6,5,2,1,1,48
12000,14,68,5,8,2,1,2,21
28000,18,70,5,10,2,2,1,52
42000,18,69,5,9,2,1,1,47
2000,12,63,5,3,2,1,2,57
20000,18,73,6,1,2,2,1,57
28000,15,66,5,6,2,3,1,50
10000,17,72,6,0,2,2,1,28
31000,12,72,6,0,2,2,1,59
17000,13,69,5,9,2,2,2,53
16000,12,67,5,7,2,1,2,51
35000,15,66,5,6,2,1,2,52
3000,12,67,5,7,2,1,2,64
16000,18,68,5,8,2,1,2,51
35000,15,65,5,5,2,2,2,48
27000,17,62,5,2,2,2,2,57
25000,17,69,5,9,2,1,1,61
