earnings,education,height,height1,height2,hispanic,race,sex,yearbn
40000,16,70,5,10,2,1,1,49
45000,16,66,5,6,2,1,2,47
14000,12,66,5,6,2,1,1,67
25000,14,66,5,6,2,1,2,53
40000,12,72,6,0,2,1,1,48
34000,12,69,5,9,2,1,1,55
40000,12,66,5,6,2,1,1,56
35000,14,69,5,9,2,1,1,62
12000,12,60,5,0,1,1,2,39
30000,17,65,5,5,2,1,2,47
23000,12,62,5,2,2,1,2,50
2000,12,67,5,7,2,1,2,60
20000,14,67,5,7,2,1,1,65
10000,9,68,5,8,2,2,2,28
60000,16,66,5,6,2,2,2,47
12000,16,74,6,2,2,2,1,49
25000,18,65,5,5,2,1,2,29
22000,14,63,5,3,2,2,2,17
8000,17,68,5,8,2,1,1,65
2000,16,66,5,6,2,1,2,69
18600,16,65,5,5,2,1,2,64
20000,14,62,5,2,2,1,2,70
100000,18,73,6,1,2,1,1,53
50000,15,62,5,2,2,1,2,50
27000,12,70,5,10,2,1,1,48
1000,12,58,4,10,2,2,2,32
18000,12,68,5,8,2,1,1,70
17000,14,67,5,7,2,1,2,67
10000,12,64,5,4,2,1,2,16
14000,14,70,5,10,2,1,1,55
7200,14,72,6,0,2,1,1,24
33000,17,63,5,3,2,1,2,51
23000,12,66,5,6,2,1,1,56
10000,12,65,5,5,2,1,2,49
22000,12,61,5,1,2,1,1,66
13000,12,61,5,1,1,1,2,71
33000,12,67,5,7,2,1,2,59
36000,12,73,6,1,2,1,1,54
10000,14,71,5,11,2,2,2,58
6000,12,64,5,4,2,1,2,30
12000,12,67,5,7,2,1,2,47
10000,11,62,5,2,2,1,2,43
21000,12,67,5,7,2,1,2,45
26000,12,69,5,9,2,1,1,58
22000,12,66,5,6,2,2,2,40
23000,15,66,5,6,2,2,2,36
20000,15,66,5,6,2,1,1,66
10000,13,66,5,6,2,1,2,52
15000,12,64,5,4,2,1,2,19
7000,14,72,6,0,2,2,1,66
15000,12,64,5,4,2,1,2,52
26000,16,65,5,5,2,1,2,56
10000,11,72,6,0,2,1,1,59
3000,14,71,5,11,2,1,1,70
27000,17,64,5,4,1,1,2,49
28000,17,64,5,4,2,1,2,65
15000,12,67,5,7,2,1,2,63
55000,18,75,6,3,2,1,1,60
20000,17,66,5,6,1,1,2,64
8500,12,67,5,7,2,1,2,46
30000,16,71,5,11,2,1,1,60
20000,12,68,5,8,2,1,2,59
22000,6,70,5,10,2,1,1,15
25000,16,67,5,7,2,1,1,64
3000,8,71,5,11,2,1,1,68
16000,12,63,5,3,2,1,2,41
10000,12,61,5,1,2,2,2,51
15000,12,65,5,5,2,2,2,62
28000,12,67,5,7,2,1,1,44
31500,14,65,5,5,2,1,1,55
95000,18,66,5,6,2,1,1,38
38000,12,67,5,7,2,1,1,50
30000,12,74,6,2,2,1,1,49
35900,16,74,6,2,2,1,1,48
12000,13,66,5,6,2,1,2,68
10000,16,69,5,9,2,1,2,65
45000,18,66,5,6,2,1,2,46
40000,16,74,6,2,2,1,1,34
21500,12,72,6,0,2,1,1,63
14000,12,66,5,6,2,1,1,28
38000,17,67,5,7,2,4,1,36
1000,12,65,5,5,2,1,2,72
14000,12,66,5,6,2,1,1,17
15000,12,65,5,5,2,1,2,59
24000,13,68,5,8,2,1,2,48
4500,16,64,5,4,2,1,2,67
18000,16,64,5,4,2,1,2,27
14000,12,63,5,3,2,1,2,70
10000,12,69,5,9,2,1,2,62
9500,12,67,5,7,2,1,2,58
11000,15,63,5,3,2,1,2,24
17000,12,67,5,7,2,1,1,23
6000,13,60,5,0,2,1,2,62
2500,11,62,5,2,2,1,2,32
40000,16,72,6,0,2,1,1,49
25000,16,67,5,7,2,1,1,51
28000,15,66,5,6,2,2,2,30
33000,12,66,5,6,2,2,2,45
4000,8,60,5,0,2,1,2,26
4100,16,65,5,5,2,1,1,60
25000,12,69,5,9,2,1,2,8
32000,12,72,6,0,2,1,1,62
13000,8,64,5,4,2,1,2,32
8000,8,64,5,4,1,1,1,63
17000,12,64,5,4,2,1,2,52
15000,12,67,5,7,2,1,2,13
18000,13,66,5,6,2,1,1,58
12000,12,73,6,1,2,1,1,66
7000,7,74,6,2,2,1,1,41
1200,14,65,5,5,2,1,2,68
14000,12,63,5,3,2,1,1,69
17000,12,63,5,3,2,1,2,50
30000,12,66,5,6,2,1,1,48
25000,12,70,5,10,2,1,1,37
22000,12,66,5,6,1,1,2,57
15000,12,63,5,3,2,1,2,69
27000,12,73,6,1,2,1,1,99
20000,16,63,5,3,2,1,2,64
9000,11,69,5,9,2,1,2,56
17000,12,73,6,1,2,1,1,60
1800,12,68,5,8,2,1,2,44
18000,12,64,5,4,2,1,2,44
25000,18,63,5,3,2,1,2,48
20000,16,70,5,10,2,2,1,49
75000,15,64,5,4,2,1,2,50
3500,12,66,5,6,2,1,2,50
36000,12,61,5,1,2,1,2,19
30000,12,72,6,0,2,1,1,65
25000,13,65,5,5,2,1,2,12
1000,14,64,5,4,2,1,2,64
60000,12,68,5,8,2,1,1,24
35000,13,74,6,2,2,1,1,14
9000,13,67,5,7,2,1,1,57
35000,9,70,5,10,2,1,1,6
11000,10,66,5,6,2,1,2,32
12000,12,71,5,11,2,1,1,38
30000,12,71,5,11,2,1,1,47
19000,7,71,5,11,2,2,1,33
9000,9,74,6,2,2,1,1,29
30000,16,75,6,3,2,1,1,61
9000,12,72,6,0,2,1,1,58
15000,16,66,5,6,1,1,2,60
8000,12,65,5,5,2,2,2,59
10000,10,66,5,6,2,1,2,15
33000,12,72,6,0,2,1,1,53
12000,12,60,5,0,1,1,2,62
18000,15,64,5,4,2,1,2,53
30000,13,65,5,5,2,1,2,29
12500,12,65,5,5,2,1,2,58
10000,12,62,5,2,2,2,2,54
8500,13,68,5,8,2,2,1,19
21000,14,73,6,1,2,2,1,44
21000,12,64,5,4,2,1,2,13
21000,17,68,5,8,2,1,2,65
5000,12,66,5,6,2,1,2,38
22000,17,71,5,11,2,1,2,54
30000,14,73,6,1,2,1,1,64
123000,14,61,5,1,2,1,2,32
8000,9,63,5,3,2,1,2,45
2000,9,64,5,4,2,1,2,65
7600,6,67,5,7,2,1,2,28
10000,12,63,5,3,2,1,2,65
35000,12,73,6,1,2,1,1,42
15000,16,66,5,6,2,1,2,33
4000,12,70,5,10,2,1,2,68
16000,8,68,5,8,2,1,1,66
200,12,67,5,7,2,1,2,57
23000,16,74,6,2,2,1,1,65
16000,16,64,5,4,2,1,2,63
6000,12,60,5,0,2,1,2,41
600,9,59,4,11,2,1,2,44
28000,16,75,6,3,2,4,1,56
4000,8,66,5,6,2,1,2,24
15000,12,64,5,4,2,1,1,55
15000,12,71,5,11,2,1,1,65
25000,12,63,5,3,2,1,2,60
15000,12,67,5,7,2,1,2,64
40000,11,69,5,9,2,1,1,46
30000,11,70,5,10,2,1,1,39
5000,12,66,5,6,2,1,2,61
35000,14,74,6,2,2,1,1,56
16000,14,65,5,5,2,1,2,59
28000,16,64,5,4,2,1,2,50
20000,15,68,5,8,2,1,1,48
21000,13,66,5,6,2,1,1,60
17000,12,69,5,9,2,2,1,48
24000,13,60,5,0,2,1,2,40
25000,12,61,5,1,2,1,2,15
40000,12,75,6,3,2,1,1,44
8000,13,64,5,4,2,1,2,71
19000,15,63,5,3,1,1,2,45
45000,16,67,5,7,2,1,2,21
5000,17,64,5,4,2,2,1,57
24000,14,63,5,3,2,2,2,50
5000,14,67,5,7,2,1,2,71
33000,16,66,5,6,2,1,1,56
24000,14,65,5,5,2,1,2,66
6000,13,63,5,3,2,1,2,67
90000,14,66,5,6,2,1,2,35
57000,18,64,5,4,2,1,2,43
13800,14,71,5,11,2,1,1,36
30000,18,71,5,11,2,1,1,53
15000,12,72,6,0,2,1,1,50
15000,14,60,5,0,2,1,2,15
31000,12,70,5,10,2,1,1,61
33000,17,74,6,2,2,1,1,50
30000,18,68,5,8,2,1,1,29
12000,12,74,6,2,2,1,1,52
5000,12,75,6,3,2,1,1,68
21000,12,68,5,8,2,1,1,31
28000,18,63,5,3,2,1,2,44
12000,12,72,6,0,2,1,1,59
19000,12,64,5,4,2,1,2,44
6000,14,63,5,3,2,1,2,55
5300,13,66,5,6,2,1,2,30
15000,13,61,5,1,2,1,2,62
17000,12,73,6,1,2,1,1,44
4700,12,66,5,6,2,2,2,12
9500,12,62,5,2,2,1,2,25
1700,12,65,5,5,2,1,1,68
5400,12,62,5,2,2,1,2,59
10000,12,68,5,8,2,1,1,59
25000,15,59,4,11,2,1,2,7
35000,16,68,5,8,2,1,2,47
28000,18,63,5,3,2,1,2,46
42000,12,63,5,3,2,1,2,50
45000,12,68,5,8,2,1,1,32
55000,12,64,5,4,2,1,2,39
36000,16,70,5,10,2,1,2,60
25000,10,70,5,10,2,1,1,59
19000,12,72,6,0,2,1,1,62
38000,11,69,5,9,2,1,1,40
15000,14,63,5,3,2,1,2,53
4500,5,58,4,10,2,1,2,5
96000,14,63,5,3,2,1,2,63
11000,12,63,5,3,2,1,2,43
9000,15,73,6,1,2,1,1,56
5000,14,69,5,9,2,1,2,66
50000,12,70,5,10,2,1,1,39
6000,13,65,5,5,2,1,2,46
100000,13,72,6,0,2,1,1,68
16500,13,62,5,2,2,1,2,44
32000,14,72,6,0,2,1,1,50
30000,18,73,6,1,2,1,1,49
10000,16,68,5,8,2,1,2,48
15000,12,66,5,6,2,1,2,71
6500,8,60,5,0,2,1,2,7
26000,18,60,5,0,2,1,2,27
17000,12,65,5,5,2,1,2,31
22000,18,63,5,3,2,4,2,31
10000,12,64,5,4,2,1,2,49
50000,14,71,5,11,2,1,1,32
20000,12,67,5,7,2,1,1,55
400,12,63,5,3,2,1,2,59
16000,14,65,5,5,2,1,2,31
10000,12,66,5,6,2,1,2,24
14000,13,63,5,3,2,1,2,32
5000,15,65,5,5,2,1,2,70
40000,16,74,6,2,2,1,1,56
5000,13,67,5,7,2,1,2,35
25000,17,68,5,8,2,1,2,43
12000,12,65,5,5,2,1,2,39
58000,16,64,5,4,2,1,2,56
18000,16,68,5,8,2,1,2,64
1000,12,65,5,5,2,1,1,72
21000,17,72,6,0,2,1,1,43
11000,12,66,5,6,2,2,1,28
13000,12,64,5,4,2,1,2,54
20000,16,60,5,0,2,4,2,2
25000,12,72,6,0,2,2,1,55
600,12,64,5,4,2,1,2,47
25000,14,67,5,7,2,2,1,64
36000,12,68,5,8,2,1,1,62
15000,13,64,5,4,2,4,2,57
3500,12,66,5,6,2,1,2,39
19005,16,65,5,5,2,1,2,56
62000,14,70,5,10,2,1,1,36
25000,12,70,5,10,2,1,1,48
50000,12,66,5,6,2,1,1,38
40000,12,66,5,6,2,1,1,29
26000,18,74,6,2,2,1,1,64
22000,12,62,5,2,2,1,2,42
21000,17,66,5,6,2,1,2,51
6108,12,62,5,2,2,1,2,25
30000,18,65,5,5,2,2,2,26
6000,12,63,5,3,2,1,2,12
27000,16,71,5,11,2,1,1,61
4000,16,66,5,6,2,1,2,48
4416,6,62,5,2,2,9,2,18
5000,10,63,5,3,2,1,2,3
45000,18,67,5,7,2,1,1,50
18000,14,61,5,1,2,1,2,45
6000,15,66,5,6,2,1,2,68
14000,12,72,6,0,2,1,1,66
35000,14,69,5,9,2,1,2,66
15000,16,64,5,4,2,1,2,61
12000,12,63,5,3,2,2,2,61
1000,12,60,5,0,2,1,2,43
32000,15,70,5,10,2,2,1,57
1500,12,73,6,1,2,1,1,71
3000,16,65,5,5,2,2,2,67
35000,12,64,5,4,2,1,2,48
70000,15,72,6,0,2,1,1,42
21000,16,67,5,7,2,1,2,62
50000,11,69,5,9,2,1,1,72
15000,9,71,5,11,2,1,1,69
9000,8,66,5,6,2,2,2,55
10000,14,63,5,3,2,2,2,65
30000,12,71,5,11,2,1,1,43
16000,14,72,6,0,2,1,1,69
20000,12,68,5,8,2,1,1,39
100000,17,72,6,0,2,1,1,36
10000,12,66,5,6,2,1,2,47
35000,14,66,5,6,2,1,1,27
7000,16,65,5,5,2,1,2,59
8000,14,71,5,11,2,2,1,63
11000,10,74,6,2,2,1,1,40
25000,9,70,5,10,2,1,1,43
25000,14,64,5,4,2,1,2,45
30000,14,69,5,9,2,1,1,42
48000,18,63,5,3,2,1,2,56
17000,12,68,5,8,2,1,2,44
26000,16,73,6,1,2,1,1,66
10000,12,63,5,3,2,1,2,29
60000,18,71,5,11,2,1,1,37
22000,18,65,5,5,2,1,2,61
6200,13,64,5,4,2,1,2,7
24000,16,65,5,5,2,1,2,58
20000,14,71,5,11,2,1,1,50
7000,14,70,5,10,2,1,2,60
30000,16,68,5,8,2,2,2,42
23000,18,66,5,6,2,1,2,62
20000,12,64,5,4,2,1,2,50
3000,16,66,5,6,2,1,2,61
30000,16,70,5,10,2,1,1,49
12000,14,64,5,4,2,1,2,67
40000,12,71,5,11,2,1,1,52
15000,14,64,5,4,2,1,2,67
36000,16,63,5,3,2,1,2,45
10000,12,66,5,6,2,1,2,37
13000,14,68,5,8,2,1,2,42
10000,12,62,5,2,2,2,2,63
30000,12,69,5,9,1,2,1,53
23000,13,64,5,4,2,1,1,58
20000,17,70,5,10,2,1,1,22
19000,13,65,5,5,2,1,2,8
20000,11,61,5,1,2,2,1,24
28000,14,64,5,4,2,2,1,27
13000,10,65,5,5,2,1,2,10
12000,12,64,5,4,2,1,1,15
20000,11,69,5,9,2,1,1,67
25000,12,74,6,2,2,1,1,60
25000,13,68,5,8,2,1,2,38
18000,16,67,5,7,2,1,2,50
6000,10,62,5,2,2,1,2,22
16000,13,72,6,0,2,1,1,67
45000,16,73,6,1,2,1,1,52
25000,14,70,5,10,2,1,1,21
12000,14,64,5,4,2,1,2,52
2000,12,68,5,8,2,1,2,72
10000,12,63,5,3,2,1,2,72
14000,12,71,5,11,2,1,1,54
15000,12,64,5,4,2,1,2,59
10000,12,60,5,0,2,1,2,51
1200,4,66,5,6,2,1,2,26
15000,14,59,4,11,2,1,2,28
10000,13,63,5,3,2,1,2,26
2000,12,66,5,6,2,1,1,72
4000,13,65,5,5,2,1,2,57
10000,14,64,5,4,2,1,2,58
1500,12,66,5,6,2,1,2,67
18000,17,66,5,6,1,9,1,64
4000,15,73,6,1,2,1,1,66
28000,16,72,6,0,2,1,1,64
10000,14,74,6,2,2,1,2,68
3000,16,65,5,5,2,1,2,68
12000,12,71,5,11,2,1,1,69
19000,13,68,5,8,2,1,2,45
36000,16,70,5,10,2,1,1,51
7000,16,64,5,4,2,1,2,31
35000,11,59,4,11,2,1,2,56
40000,18,68,5,8,2,1,1,47
15000,14,68,5,8,2,1,1,65
8000,13,69,5,9,2,1,2,47
25000,14,69,5,9,2,1,2,35
28000,18,75,6,3,2,1,1,52
22000,14,69,5,9,2,1,1,55
21500,13,72,6,0,2,2,1,66
3000,12,68,5,8,2,1,2,67
23000,13,72,6,0,2,1,1,62
18000,12,72,6,0,2,1,1,17
20000,16,67,5,7,2,1,1,19
16000,12,63,5,3,1,1,2,44
15000,12,69,5,9,2,1,1,64
53000,17,63,5,3,1,9,2,58
26000,12,72,6,0,2,1,1,63
4000,12,65,5,5,2,4,2,62
10000,16,73,6,1,2,1,1,31
43000,12,69,5,9,2,1,1,39
17000,14,69,5,9,2,3,1,57
4000,12,61,5,1,1,1,2,52
50000,15,73,6,1,2,1,1,42
55000,18,67,5,7,2,1,2,39
28000,16,63,5,3,2,1,2,49
5000,14,62,5,2,2,1,2,42
18000,13,65,5,5,2,1,2,41
21000,15,72,6,0,1,1,1,28
12000,12,67,5,7,2,1,2,57
33000,16,65,5,5,1,1,2,28
50000,13,72,6,0,1,1,1,26
6000,9,65,5,5,1,1,2,16
16000,14,64,5,4,2,1,2,31
35000,12,68,5,8,2,1,1,40
25000,12,68,5,8,2,1,2,47
20000,14,76,6,4,2,1,1,64
18000,12,63,5,3,2,1,2,54
34000,14,74,6,2,2,1,1,12
25000,16,68,5,8,2,1,1,65
20000,17,72,6,0,2,1,1,13
33000,12,68,5,8,2,1,1,21
4000,12,65,5,5,2,1,2,17
20000,8,60,5,0,2,1,2,13
40000,16,72,6,0,2,1,1,57
14000,14,64,5,4,2,1,2,50
12000,12,68,5,8,2,1,2,42
25000,12,61,5,1,2,1,2,59
70000,10,67,5,7,2,1,2,18
38000,17,67,5,7,2,1,2,35
14000,12,63,5,3,2,1,2,62
15000,13,60,5,0,2,1,2,53
17000,16,74,6,2,2,1,1,59
60000,14,69,5,9,2,1,1,24
15000,15,67,5,7,2,1,2,21
25000,16,65,5,5,2,1,1,4
18000,12,62,5,2,1,1,1,27
70000,18,72,6,0,2,1,1,43
30000,18,65,5,5,2,1,2,31
8000,12,62,5,2,2,1,2,39
30000,16,71,5,11,2,1,1,56
27000,14,71,5,11,2,1,1,58
47000,18,70,5,10,2,1,1,47
12000,12,67,5,7,1,1,1,68
24000,17,62,5,2,2,1,2,56
13000,12,63,5,3,1,1,2,55
80000,14,61,5,1,2,1,2,53
5000,12,72,6,0,2,1,1,72
25000,10,63,5,3,2,1,2,30
28000,12,66,5,6,2,1,1,46
8000,15,64,5,4,2,1,2,70
10000,13,66,5,6,2,1,2,39
9000,14,68,5,8,2,1,2,49
20000,12,60,5,0,2,1,2,53
12000,12,65,5,5,2,1,1,19
15000,14,65,5,5,2,1,2,24
20000,14,61,5,1,2,1,2,54
28000,14,64,5,4,2,1,2,54
265,15,66,5,6,2,1,2,69
35000,14,69,5,9,2,1,1,16
26000,14,66,5,6,1,1,2,58
27000,17,67,5,7,2,1,2,56
14000,12,68,5,8,2,1,2,60
32000,16,66,5,6,2,1,1,57
10000,14,69,5,9,2,1,2,58
7000,16,69,5,9,2,1,1,60
28000,17,71,5,11,2,1,1,44
60000,13,74,6,2,2,1,1,36
12000,4,69,5,9,2,1,1,28
15000,13,75,6,3,2,1,2,15
15000,11,72,6,0,2,1,1,27
26000,15,64,5,4,2,1,2,58
26000,16,72,6,0,1,1,1,65
18720,10,63,5,3,2,2,2,54
12000,12,64,5,4,2,2,2,17
80000,17,70,5,10,2,1,1,51
48000,13,66,5,6,2,1,2,51
18000,16,62,5,2,2,3,1,63
85000,15,70,5,10,2,1,1,25
35000,12,64,5,4,2,2,2,43
5000,16,69,5,9,2,1,1,68
9000,13,64,5,4,1,1,2,68
30000,16,67,5,7,2,1,2,63
80000,14,72,6,0,2,1,1,32
35000,16,65,5,5,2,1,2,58
12000,14,63,5,3,2,1,2,56
200000,18,70,5,10,2,1,1,56
4000,16,64,5,4,2,1,2,45
2000,12,68,5,8,2,1,1,72
24000,18,66,5,6,2,1,2,21
2000,15,66,5,6,1,1,1,67
15000,17,70,5,10,2,1,1,60
6000,12,62,5,2,2,1,2,25
5000,12,66,5,6,2,1,1,15
1500,12,66,5,6,1,1,2,69
28000,18,64,5,4,2,1,2,42
9000,12,70,5,10,2,1,2,55
60000,14,74,6,2,2,1,1,38
1200,12,66,5,6,2,1,1,71
1400,3,62,5,2,1,1,2,26
7000,13,66,5,6,2,1,2,47
21000,12,62,5,2,2,1,2,59
44000,12,69,5,9,2,1,1,32
29000,16,68,5,8,2,2,1,54
3000,14,72,6,0,1,1,1,72
12000,13,64,5,4,2,2,1,68
20000,12,72,6,0,1,1,1,62
1200,5,62,5,2,2,2,2,17
37000,16,74,6,2,2,1,1,65
8000,10,66,5,6,2,3,1,30
35000,16,68,5,8,1,3,1,60
25000,14,62,5,2,2,3,1,53
18000,10,71,5,11,2,1,2,61
30000,16,63,5,3,2,2,2,54
20000,18,69,5,9,2,1,1,21
12000,6,71,5,11,1,1,1,50
10000,12,66,5,6,2,1,2,22
18000,14,72,6,0,2,1,1,42
20000,12,72,6,0,2,2,1,64
31000,16,68,5,8,2,1,2,47
6000,10,64,5,4,1,1,1,54
12000,13,70,5,10,2,1,1,50
13000,16,66,5,6,2,1,2,57
26000,17,67,5,7,2,1,2,56
15000,11,68,5,8,2,2,2,59
30000,17,64,5,4,2,1,2,62
2000,14,65,5,5,2,1,2,49
5000,13,70,5,10,2,4,1,68
53000,14,71,5,11,2,1,2,64
2000,13,62,5,2,2,1,2,72
25000,17,71,5,11,2,1,1,61
5000,12,74,6,2,2,1,1,72
21000,13,64,5,4,2,1,2,63
17000,15,70,5,10,2,1,2,63
12000,13,64,5,4,2,1,2,53
42000,14,70,5,10,1,1,1,46
21000,12,74,6,2,2,1,1,57
6000,12,63,5,3,1,1,2,25
25000,14,74,6,2,2,1,1,66
3000,14,66,5,6,2,1,2,71
3600,15,65,5,5,2,1,2,23
4000,12,71,5,11,2,1,1,71
20000,14,69,5,9,2,1,1,32
52000,15,60,5,0,2,1,1,40
60000,12,64,5,4,2,1,2,47
15000,13,64,5,4,2,1,2,49
90000,16,72,6,0,2,1,1,40
26000,14,61,5,1,2,1,2,25
2000,12,69,5,9,2,1,1,69
16000,12,67,5,7,2,1,2,29
24000,11,65,5,5,1,1,2,63
15000,16,68,5,8,1,1,1,62
42000,17,74,6,2,2,1,1,47
10000,12,65,5,5,2,1,2,47
17000,13,71,5,11,1,1,1,54
30000,14,64,5,4,2,1,2,56
32000,17,69,5,9,2,1,2,53
36000,17,64,5,4,1,1,2,56
10000,13,72,6,0,1,1,1,70
20000,15,63,5,3,2,1,2,61
24000,12,65,5,5,2,1,2,61
17000,12,72,6,0,2,1,1,58
23000,14,65,5,5,2,1,2,42
25000,12,64,5,4,2,1,2,57
50000,12,71,5,11,2,1,1,40
20000,12,62,5,2,2,1,2,60
30000,16,66,5,6,2,1,2,57
7000,10,64,5,4,2,1,2,51
7000,10,67,5,7,2,1,1,12
30000,11,68,5,8,2,1,1,58
3000,12,66,5,6,2,1,2,66
20000,14,66,5,6,2,1,2,47
40000,16,66,5,6,2,1,2,31
10000,12,67,5,7,2,1,1,13
16000,12,66,5,6,2,1,1,53
11000,9,63,5,3,2,1,2,39
16000,13,68,5,8,2,1,2,47
18000,12,70,5,10,2,1,1,63
12000,16,63,5,3,2,1,2,64
4000,14,70,5,10,2,2,1,69
60000,12,72,6,0,2,1,1,45
43000,17,75,6,3,2,1,1,50
31000,14,62,5,2,2,1,2,51
50000,17,68,5,8,2,1,2,51
27000,14,68,5,8,2,1,2,61
30000,17,70,5,10,2,1,1,34
12000,13,73,6,1,2,2,1,69
20000,17,62,5,2,2,1,2,60
15000,12,60,5,0,2,2,2,14
25000,16,64,5,4,2,3,2,53
2000,6,60,5,0,1,1,2,23
3000,15,73,6,1,1,1,1,70
110000,18,66,5,6,2,3,2,42
55000,18,69,5,9,2,1,1,19
58000,18,70,5,10,2,1,1,37
10000,16,70,5,10,2,1,2,54
19000,12,72,6,0,2,1,1,61
15000,18,61,5,1,2,1,2,8
8000,12,64,5,4,2,1,2,57
60000,12,72,6,0,2,1,1,40
6000,12,68,5,8,2,1,1,63
